checkpoint_interval,config_name,data_recovery_rate_percent,experiment_duration_seconds,items_recovered,items_stored,recovery_time_seconds,replication_factor,run_id,status,store_time_seconds,strategy,timestamp
,Baseline,0.0,0.0171051025390625,0,100,9.5367431640625e-07,,1,SUCCESS,0.0022335052490234375,baseline,2025-12-17T12:53:39.548966
,Baseline,0.0,0.022802114486694336,0,100,2.384185791015625e-07,,2,SUCCESS,0.0003147125244140625,baseline,2025-12-17T12:53:41.584111
,Baseline,0.0,0.011631965637207031,0,100,7.152557373046875e-07,,3,SUCCESS,0.0002741813659667969,baseline,2025-12-17T12:53:43.598229
,Baseline,0.0,0.013975143432617188,0,100,7.152557373046875e-07,,4,SUCCESS,0.00035262107849121094,baseline,2025-12-17T12:53:45.617092
,Baseline,0.0,0.01941394805908203,0,100,9.5367431640625e-07,,5,SUCCESS,0.0005280971527099609,baseline,2025-12-17T12:53:47.639701
,Baseline,0.0,0.015559911727905273,0,100,7.152557373046875e-07,,6,SUCCESS,0.00033545494079589844,baseline,2025-12-17T12:53:49.659881
,Baseline,0.0,0.013684272766113281,0,100,2.384185791015625e-07,,7,SUCCESS,0.00027489662170410156,baseline,2025-12-17T12:53:51.678535
,Baseline,0.0,0.009233951568603516,0,100,2.384185791015625e-07,,8,SUCCESS,0.0003228187561035156,baseline,2025-12-17T12:53:53.688403
,Baseline,0.0,0.009336233139038086,0,100,2.384185791015625e-07,,9,SUCCESS,0.0003077983856201172,baseline,2025-12-17T12:53:55.702753
,Baseline,0.0,0.01990199089050293,0,100,7.152557373046875e-07,,10,SUCCESS,0.0005099773406982422,baseline,2025-12-17T12:53:57.727198
,Baseline,0.0,0.016475915908813477,0,100,2.384185791015625e-07,,11,SUCCESS,0.0003750324249267578,baseline,2025-12-17T12:53:59.745515
,Baseline,0.0,0.013948917388916016,0,100,2.384185791015625e-07,,12,SUCCESS,0.00030517578125,baseline,2025-12-17T12:54:01.761266
,Baseline,0.0,0.020589113235473633,0,100,2.384185791015625e-07,,13,SUCCESS,0.0003104209899902344,baseline,2025-12-17T12:54:03.784053
,Baseline,0.0,0.05399179458618164,0,100,2.384185791015625e-07,,14,SUCCESS,0.00028896331787109375,baseline,2025-12-17T12:54:05.846441
,Baseline,0.0,0.016308307647705078,0,100,2.384185791015625e-07,,15,SUCCESS,0.00033545494079589844,baseline,2025-12-17T12:54:07.867793
